Date,Home,Away,Score,Season
31.10. 21:30,Perth Wildcats,Illawarra Hawks,91 : 62,2015/16
31.10. 19:30,Adelaide 36ers,Cairns Taipans,101 : 104,2015/16
30.10. 19:30,Sydney Kings,Townsville,87 : 78,2015/16
29.10. 19:30,Melbourne United,Perth Wildcats,75 : 73,2015/16
28.10. 19:30,Townsville,Illawarra Hawks,88 : 96,2015/16
28.10. 17:30,NZ Breakers,Cairns Taipans,90 : 67,2015/16
25.10. 15:00,Illawarra Hawks,Perth Wildcats,99 : 106,2015/16
24.10. 19:30,Melbourne United,Cairns Taipans,89 : 80,2015/16
23.10. 21:30,Perth Wildcats,Townsville,63 : 66,2015/16
23.10. 19:30,Sydney Kings,Adelaide 36ers,80 : 91,2015/16
22.10. 19:30,Adelaide 36ers,Cairns Taipans,88 : 79,2015/16
21.10. 19:30,Melbourne United,Townsville,93 : 62,2015/16
21.10. 17:30,NZ Breakers,Sydney Kings,74 : 62,2015/16
17.10. 19:30,Cairns Taipans,Townsville,80 : 74,2015/16
17.10. 17:30,Sydney Kings,Illawarra Hawks,86 : 100,2015/16
16.10. 21:30,Perth Wildcats,NZ Breakers,83 : 80,2015/16
16.10. 19:30,Melbourne United,Adelaide 36ers,84 : 75,2015/16
15.10. 19:30,Sydney Kings,Townsville,77 : 80,2015/16
14.10. 19:30,Illawarra Hawks,NZ Breakers,96 : 75,2015/16
11.10. 15:00,Melbourne United,Illawarra Hawks,93 : 81,2015/16
11.10. 13:00,NZ Breakers,Townsville,89 : 81,2015/16
10.10. 19:30,Adelaide 36ers,Perth Wildcats,66 : 79,2015/16
10.10. 17:30,Sydney Kings,Cairns Taipans,87 : 63,2015/16
09.10. 19:30,Townsville,Melbourne United,84 : 99,2015/16
08.10. 19:30,Cairns Taipans,Illawarra Hawks,79 : 74,2015/16
05.03. 15:00,Perth Wildcats ,Illawarra Hawks,95 : 86,2016//17
01.03. 19:30,Illawarra Hawks,Perth Wildcats,77 : 89,2016//17
26.02. 19:00,Perth Wildcats,Illawarra Hawks,89 : 77,2016//17
23.02. 19:30,Adelaide 36ers,Illawarra Hawks ,98 : 106,2016//17
20.02. 21:30,Perth Wildcats ,Cairns Taipans,74 : 66,2016//17
19.02. 15:00,Illawarra Hawks,Adelaide 36ers,100 : 94,2016//17
17.02. 19:30,Cairns Taipans,Perth Wildcats,69 : 91,2016//17
16.02. 19:30,Adelaide 36ers,Illawarra Hawks,93 : 78,2016//17
12.02. 15:00,Melbourne United,Perth Wildcats,94 : 96,2016//17
11.02. 19:30,Adelaide 36ers,Cairns Taipans,89 : 98,2016//17
11.02. 17:30,Illawarra Hawks,Brisbane Bullets,106 : 79,2016//17
10.02. 21:30,Perth Wildcats,Sydney Kings,101 : 74,2016//17
10.02. 17:30,NZ Breakers,Melbourne United,88 : 70,2016//17
09.02. 19:30,Cairns Taipans,Adelaide 36ers,89 : 85,2016//17
06.02. 19:30,Melbourne United,Illawarra Hawks,78 : 72,2016//17
05.02. 15:00,Cairns Taipans,Perth Wildcats,85 : 77,2016//17
04.02. 19:30,Sydney Kings,Melbourne United,76 : 89,2016//17
04.02. 17:30,Adelaide 36ers,NZ Breakers,87 : 88,2016//17
03.02. 21:30,Perth Wildcats,Brisbane Bullets,94 : 63,2016//17
03.02. 19:30,Illawarra Hawks,Cairns Taipans,90 : 73,2016//17
